Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Tenure,Credit_History,Property_Area,Loan_Status
LP001245,Male,Yes,2,Not Graduate,Yes,18750,18750,970000,360,Yes,Semiurban,Yes
LP001248,Male,No,0,Graduate,No,35000,0,810000,300,Yes,Semiurban,Yes
LP001250,Male,Yes,3+,Not Graduate,No,47550,0,950000,,No,Semiurban,No
LP001253,Male,Yes,3+,Graduate,Yes,52660,17740,1870000,360,Yes,Semiurban,Yes
LP001255,Male,No,0,Graduate,No,37500,0,1130000,480,Yes,Urban,No
LP001256,Male,No,0,Graduate,No,37500,47500,1760000,360,Yes,Urban,No
LP001259,Male,Yes,1,Graduate,Yes,10000,30220,1100000,360,Yes,Urban,No
LP001263,Male,Yes,3+,Graduate,No,31670,40000,1800000,300,No,Semiurban,No
LP001264,Male,Yes,3+,Not Graduate,Yes,33330,21660,1300000,360,,Semiurban,Yes
LP001265,Female,No,0,Graduate,No,38460,0,1110000,360,Yes,Semiurban,Yes
LP001266,Male,Yes,1,Graduate,Yes,23950,0,0,360,Yes,Semiurban,Yes
LP001267,Female,Yes,2,Graduate,No,13780,18810,1670000,360,Yes,Urban,No
LP001273,Male,Yes,0,Graduate,No,60000,22500,2650000,360,,Semiurban,No
LP001275,Male,Yes,1,Graduate,No,39880,0,500000,240,Yes,Urban,Yes
LP001279,Male,No,0,Graduate,No,23660,25310,1360000,360,Yes,Semiurban,Yes
LP001280,Male,Yes,2,Not Graduate,No,33330,20000,990000,360,,Semiurban,Yes
LP001282,Male,Yes,0,Graduate,No,25000,21180,1040000,360,Yes,Semiurban,Yes
LP001289,Male,No,0,Graduate,No,85660,0,2100000,360,Yes,Urban,Yes
LP001310,Male,Yes,0,Graduate,No,56950,41670,1750000,360,Yes,Semiurban,Yes
LP001316,Male,Yes,0,Graduate,No,29580,29000,1310000,360,Yes,Semiurban,Yes
LP001318,Male,Yes,2,Graduate,No,62500,56540,1880000,180,Yes,Semiurban,Yes
LP001319,Male,Yes,2,Not Graduate,No,32730,18200,810000,360,Yes,Urban,Yes
LP001322,Male,No,0,Graduate,No,41330,0,1220000,360,Yes,Semiurban,Yes
LP001325,Male,No,0,Not Graduate,No,36200,0,250000,120,Yes,Semiurban,Yes
LP001326,Male,No,0,Graduate,,67820,0,0,360,,Urban,No
LP001327,Female,Yes,0,Graduate,No,24840,23020,1370000,360,Yes,Semiurban,Yes
LP001333,Male,Yes,0,Graduate,No,19770,9970,500000,360,Yes,Semiurban,Yes
LP001334,Male,Yes,0,Not Graduate,No,41880,0,1150000,180,Yes,Semiurban,Yes
LP001343,Male,Yes,0,Graduate,No,17590,35410,1310000,360,Yes,Semiurban,Yes
LP001345,Male,Yes,2,Not Graduate,No,42880,32630,1330000,180,Yes,Urban,Yes
LP001349,Male,No,0,Graduate,No,48430,38060,1510000,360,Yes,Semiurban,Yes
LP001350,Male,Yes,,Graduate,No,136500,0,0,360,Yes,Urban,Yes
LP001356,Male,Yes,0,Graduate,No,46520,35830,0,360,Yes,Semiurban,Yes
LP001357,Male,,,Graduate,No,38160,7540,1600000,360,Yes,Urban,Yes
LP001367,Male,Yes,1,Graduate,No,30520,10300,1000000,360,Yes,Urban,Yes
LP001369,Male,Yes,2,Graduate,No,114170,11260,2250000,360,Yes,Urban,Yes
LP001370,Male,No,0,Not Graduate,,73330,0,1200000,360,Yes,Rural,No
LP001379,Male,Yes,2,Graduate,No,38000,36000,2160000,360,No,Urban,No
LP001384,Male,Yes,3+,Not Graduate,No,20710,7540,940000,480,Yes,Semiurban,Yes
LP001385,Male,No,0,Graduate,No,53160,0,1360000,360,Yes,Urban,Yes
LP001387,Female,Yes,0,Graduate,,29290,23330,1390000,360,Yes,Semiurban,Yes
LP001391,Male,Yes,0,Not Graduate,No,35720,41140,1520000,,No,Rural,No
LP001392,Female,No,1,Graduate,Yes,74510,0,0,360,Yes,Semiurban,Yes
LP001398,Male,No,0,Graduate,,50500,0,1180000,360,Yes,Semiurban,Yes
LP001401,Male,Yes,1,Graduate,No,145830,0,1850000,180,Yes,Rural,Yes
LP001404,Female,Yes,0,Graduate,No,31670,22830,1540000,360,Yes,Semiurban,Yes
LP001405,Male,Yes,1,Graduate,No,22140,13980,850000,360,,Urban,Yes
LP001421,Male,Yes,0,Graduate,No,55680,21420,1750000,360,Yes,Rural,No
LP001422,Female,No,0,Graduate,No,104080,0,2590000,360,Yes,Urban,Yes
LP001426,Male,Yes,,Graduate,No,56670,26670,1800000,360,Yes,Rural,Yes
LP001430,Female,No,0,Graduate,No,41660,0,440000,360,Yes,Semiurban,Yes
LP001431,Female,No,0,Graduate,No,21370,89800,1370000,360,No,Semiurban,Yes
LP001432,Male,Yes,2,Graduate,No,29570,0,810000,360,Yes,Semiurban,Yes
LP001439,Male,Yes,0,Not Graduate,No,43000,20140,1940000,360,Yes,Rural,Yes
LP001443,Female,No,0,Graduate,No,36920,0,930000,360,,Rural,Yes
LP001448,,Yes,3+,Graduate,No,238030,0,3700000,360,Yes,Rural,Yes
LP001449,Male,No,0,Graduate,No,38650,16400,0,360,Yes,Rural,Yes
LP001451,Male,Yes,1,Graduate,Yes,105130,38500,1600000,180,No,Urban,No
LP001465,Male,Yes,0,Graduate,No,60800,25690,1820000,360,,Rural,No
LP001469,Male,No,0,Graduate,Yes,201660,0,6500000,480,,Urban,Yes
LP001473,Male,No,0,Graduate,No,20140,19290,740000,360,Yes,Urban,Yes
LP001478,Male,No,0,Graduate,No,27180,0,700000,360,Yes,Semiurban,Yes
LP001482,Male,Yes,0,Graduate,Yes,34590,0,250000,120,Yes,Semiurban,Yes
LP001487,Male,No,0,Graduate,No,48950,0,1020000,360,Yes,Semiurban,Yes
LP001488,Male,Yes,3+,Graduate,No,40000,77500,2900000,360,Yes,Semiurban,No
LP001489,Female,Yes,0,Graduate,No,45830,0,840000,360,Yes,Rural,No
LP001491,Male,Yes,2,Graduate,Yes,33160,35000,880000,360,Yes,Urban,Yes
LP001492,Male,No,0,Graduate,No,149990,0,2420000,360,No,Semiurban,No
LP001493,Male,Yes,2,Not Graduate,No,42000,14300,1290000,360,Yes,Rural,No
LP001497,Male,Yes,2,Graduate,No,50420,20830,1850000,360,Yes,Rural,No
LP001498,Male,No,0,Graduate,No,54170,0,1680000,360,Yes,Urban,Yes
LP001504,Male,No,0,Graduate,Yes,69500,0,1750000,180,Yes,Semiurban,Yes
LP001507,Male,Yes,0,Graduate,No,26980,20340,1220000,360,Yes,Semiurban,Yes
LP001508,Male,Yes,2,Graduate,No,117570,0,1870000,180,Yes,Urban,Yes
LP001514,Female,Yes,0,Graduate,No,23300,44860,1000000,360,Yes,Semiurban,Yes
LP001516,Female,Yes,2,Graduate,No,148660,0,700000,360,Yes,Urban,Yes
LP001518,Male,Yes,1,Graduate,No,15380,14250,300000,360,Yes,Urban,Yes
LP001519,Female,No,0,Graduate,No,100000,16660,2250000,360,Yes,Rural,No
LP001520,Male,Yes,0,Graduate,No,48600,8300,1250000,360,Yes,Semiurban,Yes
LP001528,Male,No,0,Graduate,No,62770,0,1180000,360,No,Rural,No
LP001529,Male,Yes,0,Graduate,Yes,25770,37500,1520000,360,Yes,Rural,Yes
LP001531,Male,No,0,Graduate,No,91660,0,2440000,360,Yes,Urban,No
LP001532,Male,Yes,2,Not Graduate,No,22810,0,1130000,360,Yes,Rural,No
LP001535,Male,No,0,Graduate,No,32540,0,500000,360,Yes,Urban,Yes
LP001536,Male,Yes,3+,Graduate,No,399990,0,6000000,180,No,Semiurban,Yes
LP001541,Male,Yes,1,Graduate,No,60000,0,1600000,360,,Rural,Yes
LP001543,Male,Yes,1,Graduate,No,95380,0,1870000,360,Yes,Urban,Yes
LP001546,Male,No,0,Graduate,,29800,20830,1200000,360,Yes,Rural,Yes
LP001552,Male,Yes,0,Graduate,No,45830,56250,2550000,360,Yes,Semiurban,Yes
LP001560,Male,Yes,0,Not Graduate,No,18630,10410,980000,360,Yes,Semiurban,Yes
LP001562,Male,Yes,0,Graduate,No,79330,0,2750000,360,Yes,Urban,No
LP001565,Male,Yes,1,Graduate,No,30890,12800,1210000,360,No,Semiurban,No
LP001570,Male,Yes,2,Graduate,No,41670,14470,1580000,360,Yes,Rural,Yes
LP001572,Male,Yes,0,Graduate,No,93230,0,750000,180,Yes,Urban,Yes
LP001574,Male,Yes,0,Graduate,No,37070,31660,1820000,,Yes,Rural,Yes
LP001577,Female,Yes,0,Graduate,No,45830,0,1120000,360,Yes,Rural,No
LP001578,Male,Yes,0,Graduate,No,24390,33330,1290000,360,Yes,Rural,Yes
LP001579,Male,No,0,Graduate,No,22370,0,630000,480,No,Semiurban,No
LP001580,Male,Yes,2,Graduate,No,80000,0,2000000,360,Yes,Semiurban,Yes
LP001581,Male,Yes,0,Not Graduate,,18200,17690,950000,360,Yes,Rural,Yes
LP001585,,Yes,3+,Graduate,No,517630,0,7000000,300,Yes,Urban,Yes
LP001586,Male,Yes,3+,Not Graduate,No,35220,0,810000,180,Yes,Rural,No
LP001594,Male,Yes,0,Graduate,No,57080,56250,1870000,360,Yes,Semiurban,Yes
LP001603,Male,Yes,0,Not Graduate,Yes,43440,7360,870000,360,Yes,Semiurban,No
LP001606,Male,Yes,0,Graduate,No,34970,19640,1160000,360,Yes,Rural,Yes
LP001608,Male,Yes,2,Graduate,No,20450,16190,1010000,360,Yes,Rural,Yes
LP001610,Male,Yes,3+,Graduate,No,55160,113000,4950000,360,No,Semiurban,No
LP001616,Male,Yes,1,Graduate,No,37500,0,1160000,360,Yes,Semiurban,Yes
LP001630,Male,No,0,Not Graduate,No,23330,14510,1020000,480,No,Urban,No
LP001633,Male,Yes,1,Graduate,No,64000,72500,1800000,360,No,Urban,No
LP001634,Male,No,0,Graduate,No,19160,50630,670000,360,,Rural,No
LP001636,Male,Yes,0,Graduate,No,46000,0,730000,180,Yes,Semiurban,Yes
LP001637,Male,Yes,1,Graduate,No,338460,0,2600000,360,Yes,Semiurban,No
LP001639,Female,Yes,0,Graduate,No,36250,0,1080000,360,Yes,Semiurban,Yes
LP001640,Male,Yes,0,Graduate,Yes,391470,47500,1200000,360,Yes,Semiurban,Yes
LP001641,Male,Yes,1,Graduate,Yes,21780,0,660000,300,No,Rural,No
LP001643,Male,Yes,0,Graduate,No,23830,21380,580000,360,,Rural,Yes
LP001644,,Yes,0,Graduate,Yes,6740,52960,1680000,360,Yes,Rural,Yes
LP001647,Male,Yes,0,Graduate,No,93280,0,1880000,180,Yes,Rural,Yes
LP001653,Male,No,0,Not Graduate,No,48850,0,480000,360,Yes,Rural,Yes
LP001656,Male,No,0,Graduate,No,120000,0,1640000,360,Yes,Semiurban,No
LP001657,Male,Yes,0,Not Graduate,No,60330,0,1600000,360,Yes,Urban,No
LP001658,Male,No,0,Graduate,No,38580,0,760000,360,Yes,Semiurban,Yes
LP001664,Male,No,0,Graduate,No,41910,0,1200000,360,Yes,Rural,Yes
LP001665,Male,Yes,1,Graduate,No,31250,25830,1700000,360,Yes,Semiurban,No
LP001666,Male,No,0,Graduate,No,83330,37500,1870000,360,Yes,Rural,Yes
LP001669,Female,No,0,Not Graduate,No,19070,23650,1200000,,Yes,Urban,Yes
LP001671,Female,Yes,0,Graduate,No,34160,28160,1130000,360,,Semiurban,Yes
LP001673,Male,No,0,Graduate,Yes,110000,0,830000,360,Yes,Urban,No
LP001674,Male,Yes,1,Not Graduate,No,26000,25000,900000,360,Yes,Semiurban,Yes
LP001677,Male,No,2,Graduate,No,49230,0,1660000,360,No,Semiurban,Yes
LP001682,Male,Yes,3+,Not Graduate,No,39920,0,0,180,Yes,Urban,No
LP001688,Male,Yes,1,Not Graduate,No,35000,10830,1350000,360,Yes,Urban,Yes
LP001691,Male,Yes,2,Not Graduate,No,39170,0,1240000,360,Yes,Semiurban,Yes
LP001692,Female,No,0,Not Graduate,No,44080,0,1200000,360,Yes,Semiurban,Yes
LP001693,Female,No,0,Graduate,No,32440,0,800000,360,Yes,Urban,Yes
LP001698,Male,No,0,Not Graduate,No,39750,25310,550000,360,Yes,Rural,Yes
LP001699,Male,No,0,Graduate,No,24790,0,590000,360,Yes,Urban,Yes
LP001702,Male,No,0,Graduate,No,34180,0,1270000,360,Yes,Semiurban,No
LP001708,Female,No,0,Graduate,No,100000,0,2140000,360,Yes,Semiurban,No
LP001711,Male,Yes,3+,Graduate,No,34300,12500,1280000,360,No,Semiurban,No
LP001713,Male,Yes,1,Graduate,Yes,77870,0,2400000,360,Yes,Urban,Yes
LP001715,Male,Yes,3+,Not Graduate,Yes,57030,0,1300000,360,Yes,Rural,Yes
LP001716,Male,Yes,0,Graduate,No,31730,30210,1370000,360,Yes,Urban,Yes
LP001720,Male,Yes,3+,Not Graduate,No,38500,9830,1000000,360,Yes,Semiurban,Yes
LP001722,Male,Yes,0,Graduate,No,1500,18000,1350000,360,Yes,Rural,No
LP001726,Male,Yes,0,Graduate,No,37270,17750,1310000,360,Yes,Semiurban,Yes
LP001732,Male,Yes,2,Graduate,,50000,0,720000,360,No,Semiurban,No
LP001734,Female,Yes,2,Graduate,No,42830,23830,1270000,360,,Semiurban,Yes
LP001736,Male,Yes,0,Graduate,No,22210,0,600000,360,No,Urban,No
LP001743,Male,Yes,2,Graduate,No,40090,17170,1160000,360,Yes,Semiurban,Yes
LP001744,Male,No,0,Graduate,No,29710,27910,1440000,360,Yes,Semiurban,Yes
LP001749,Male,Yes,0,Graduate,No,75780,10100,1750000,,Yes,Semiurban,Yes
LP001750,Male,Yes,0,Graduate,No,62500,0,1280000,360,Yes,Semiurban,Yes
LP001751,Male,Yes,0,Graduate,No,32500,0,1700000,360,Yes,Rural,No
LP001754,Male,Yes,,Not Graduate,Yes,47350,0,1380000,360,Yes,Urban,No
LP001758,Male,Yes,2,Graduate,No,62500,16950,2100000,360,Yes,Semiurban,Yes
LP001760,Male,,,Graduate,No,47580,0,1580000,480,Yes,Semiurban,Yes
LP001761,Male,No,0,Graduate,Yes,64000,0,2000000,360,Yes,Rural,Yes
LP001765,Male,Yes,1,Graduate,No,24910,20540,1040000,360,Yes,Semiurban,Yes
LP001768,Male,Yes,0,Graduate,,37160,0,420000,180,Yes,Rural,Yes
LP001770,Male,No,0,Not Graduate,No,31890,25980,1200000,,Yes,Rural,Yes
LP001776,Female,No,0,Graduate,No,83330,0,2800000,360,Yes,Semiurban,Yes
LP001778,Male,Yes,1,Graduate,No,31550,17790,1400000,360,Yes,Semiurban,Yes
LP001784,Male,Yes,1,Graduate,No,55000,12600,1700000,360,Yes,Rural,Yes
LP001786,Male,Yes,0,Graduate,,57460,0,2550000,360,,Urban,No
LP001788,Female,No,0,Graduate,Yes,34630,0,1220000,360,,Urban,Yes
LP001790,Female,No,1,Graduate,No,38120,0,1120000,360,Yes,Rural,Yes
LP001792,Male,Yes,1,Graduate,No,33150,0,960000,360,Yes,Semiurban,Yes
LP001798,Male,Yes,2,Graduate,No,58190,50000,1200000,360,Yes,Rural,Yes
LP001800,Male,Yes,1,Not Graduate,No,25100,19830,1400000,180,Yes,Urban,No
LP001806,Male,No,0,Graduate,No,29650,57010,1550000,60,Yes,Urban,Yes
LP001807,Male,Yes,2,Graduate,Yes,62500,13000,1080000,360,Yes,Rural,Yes
LP001811,Male,Yes,0,Not Graduate,No,34060,44170,1230000,360,Yes,Semiurban,Yes
LP001813,Male,No,0,Graduate,Yes,60500,43330,1200000,180,Yes,Urban,No
LP001814,Male,Yes,2,Graduate,No,97030,0,1120000,360,Yes,Urban,Yes
LP001819,Male,Yes,1,Not Graduate,No,66080,0,1370000,180,Yes,Urban,Yes
LP001824,Male,Yes,1,Graduate,No,28820,18430,1230000,480,Yes,Semiurban,Yes
LP001825,Male,Yes,0,Graduate,No,18090,18680,900000,360,Yes,Urban,Yes
LP001835,Male,Yes,0,Not Graduate,No,16680,38900,2010000,360,No,Semiurban,No
LP001836,Female,No,2,Graduate,No,34270,0,1380000,360,Yes,Urban,No
LP001841,Male,No,0,Not Graduate,Yes,25830,21670,1040000,360,Yes,Rural,Yes
LP001843,Male,Yes,1,Not Graduate,No,26610,71010,2790000,180,Yes,Semiurban,Yes
LP001844,Male,No,0,Graduate,Yes,162500,0,1920000,360,No,Urban,No
LP001846,Female,No,3+,Graduate,No,30830,0,2550000,360,Yes,Rural,Yes
LP001849,Male,No,0,Not Graduate,No,60450,0,1150000,360,No,Rural,No
LP001854,Male,Yes,3+,Graduate,No,52500,0,940000,360,Yes,Urban,No
LP001859,Male,Yes,0,Graduate,No,146830,21000,3040000,360,Yes,Rural,No
LP001864,Male,Yes,3+,Not Graduate,No,49310,0,1280000,360,,Semiurban,No
LP001865,Male,Yes,1,Graduate,No,60830,42500,3300000,360,,Urban,Yes
LP001868,Male,No,0,Graduate,No,20600,22090,1340000,360,Yes,Semiurban,Yes
LP001870,Female,No,1,Graduate,No,34810,0,1550000,36,Yes,Semiurban,No
LP001871,Female,No,0,Graduate,No,72000,0,1200000,360,Yes,Rural,Yes
LP001872,Male,No,0,Graduate,Yes,51660,0,1280000,360,Yes,Semiurban,Yes
LP001875,Male,No,0,Graduate,No,40950,34470,1510000,360,Yes,Rural,Yes
LP001877,Male,Yes,2,Graduate,No,47080,13870,1500000,360,Yes,Semiurban,Yes
LP001882,Male,Yes,3+,Graduate,No,43330,18110,1600000,360,No,Urban,Yes
LP001883,Female,No,0,Graduate,,34180,0,1350000,360,Yes,Rural,No
LP001884,Female,No,1,Graduate,No,28760,15600,900000,360,Yes,Urban,Yes
LP001888,Female,No,0,Graduate,No,32370,0,300000,360,Yes,Urban,Yes
LP001891,Male,Yes,0,Graduate,No,111460,0,1360000,360,Yes,Urban,Yes
LP001892,Male,No,0,Graduate,No,28330,18570,1260000,360,Yes,Rural,Yes
LP001894,Male,Yes,0,Graduate,No,26200,22230,1500000,360,Yes,Semiurban,Yes
LP001896,Male,Yes,2,Graduate,No,39000,0,900000,360,Yes,Semiurban,Yes
LP001900,Male,Yes,1,Graduate,No,27500,18420,1150000,360,Yes,Semiurban,Yes
LP001903,Male,Yes,0,Graduate,No,39930,32740,2070000,360,Yes,Semiurban,Yes
LP001904,Male,Yes,0,Graduate,No,31030,13000,800000,360,Yes,Urban,Yes
LP001907,Male,Yes,0,Graduate,No,145830,0,4360000,360,Yes,Semiurban,Yes
LP001908,Female,Yes,0,Not Graduate,No,41000,0,1240000,360,,Rural,Yes
LP001910,Male,No,1,Not Graduate,Yes,40530,24260,1580000,360,No,Urban,No
LP001914,Male,Yes,0,Graduate,No,39270,8000,1120000,360,Yes,Semiurban,Yes
LP001915,Male,Yes,2,Graduate,No,23010,9857.999878,780000,180,Yes,Urban,Yes
LP001917,Female,No,0,Graduate,No,18110,16660,540000,360,Yes,Urban,Yes
LP001922,Male,Yes,0,Graduate,No,206670,0,0,360,Yes,Rural,No
LP001924,Male,No,0,Graduate,No,31580,30530,890000,360,Yes,Rural,Yes
LP001925,Female,No,0,Graduate,Yes,26000,17170,990000,300,Yes,Semiurban,No
LP001926,Male,Yes,0,Graduate,No,37040,20000,1200000,360,Yes,Rural,Yes
LP001931,Female,No,0,Graduate,No,41240,0,1150000,360,Yes,Semiurban,Yes
LP001935,Male,No,0,Graduate,No,95080,0,1870000,360,Yes,Rural,Yes
LP001936,Male,Yes,0,Graduate,No,30750,24160,1390000,360,Yes,Rural,Yes
LP001938,Male,Yes,2,Graduate,No,44000,0,1270000,360,No,Semiurban,No
LP001940,Male,Yes,2,Graduate,No,31530,15600,1340000,360,Yes,Urban,Yes
LP001945,Female,No,,Graduate,No,54170,0,1430000,480,No,Urban,No
LP001947,Male,Yes,0,Graduate,No,23830,33340,1720000,360,Yes,Semiurban,Yes
LP001949,Male,Yes,3+,Graduate,,44160,12500,1100000,360,Yes,Urban,Yes
LP001953,Male,Yes,1,Graduate,No,68750,0,2000000,360,Yes,Semiurban,Yes
LP001954,Female,Yes,1,Graduate,No,46660,0,1350000,360,Yes,Urban,Yes
LP001955,Female,No,0,Graduate,No,50000,25410,1510000,480,Yes,Rural,No
LP001963,Male,Yes,1,Graduate,No,20140,29250,1130000,360,Yes,Urban,No
LP001964,Male,Yes,0,Not Graduate,No,18000,29340,930000,360,No,Urban,No
LP001972,Male,Yes,,Not Graduate,No,28750,17500,1050000,360,Yes,Semiurban,Yes
LP001974,Female,No,0,Graduate,No,50000,0,1320000,360,Yes,Rural,Yes
LP001977,Male,Yes,1,Graduate,No,16250,18030,960000,360,Yes,Urban,Yes
LP001978,Male,No,0,Graduate,No,40000,25000,1400000,360,Yes,Rural,Yes
LP001990,Male,No,0,Not Graduate,No,20000,0,0,360,Yes,Urban,No
LP001993,Female,No,0,Graduate,No,37620,16660,1350000,360,Yes,Rural,Yes
LP001994,Female,No,0,Graduate,No,24000,18630,1040000,360,No,Urban,No
LP001996,Male,No,0,Graduate,No,202330,0,4800000,360,Yes,Rural,No
LP001998,Male,Yes,2,Not Graduate,No,76670,0,1850000,360,,Rural,Yes
LP002002,Female,No,0,Graduate,No,29170,0,840000,360,Yes,Semiurban,Yes
LP002004,Male,No,0,Not Graduate,No,29270,24050,1110000,360,Yes,Semiurban,Yes
LP002006,Female,No,0,Graduate,No,25070,0,560000,360,Yes,Rural,Yes
LP002008,Male,Yes,2,Graduate,Yes,57460,0,1440000,84,,Rural,Yes
LP002024,,Yes,0,Graduate,No,24730,18430,1590000,360,Yes,Rural,No
